nivel;camada;onde;mensagem
Fatal;Cross Sections;Itajai_Mirim, R1 (114503.3);Left Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (114253.3);Left Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (114253.3);Right Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (114003.3);Right Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (113753.3);Left Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (113503.3);Left Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (113503.3);Right Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (113253.3);Left Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (113253.3);Right Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (112253.3);Left Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (112253.3);Right Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (111253.3);Right Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (111003.3);Left Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (111003.3);Right Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (110503.3);Left Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (110503.3);Right Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (109753.3);Left Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (109753.3);Right Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (108753.3);Right Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (108503.3);Left Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (108503.3);Right Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (107753.3);Left Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (106503.3);Left Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (106003.3);Left Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (106003.3);Right Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (105753.3);Left Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (105753.3);Right Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (105253.3);Left Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (105253.3);Right Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (104503.3);Left Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (104503.3);Right Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (104253.3);Left Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (103753.3);Right Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (103253.3);Left Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (103253.3);Right Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (102503.3);Right Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (102003.3);Left Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (102003.3);Right Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (101503.3);Left Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (101003.3);Left Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (101003.3);Right Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (100003.3);Left Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (100003.3);Right Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (99253.33);Right Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (98503.33);Left Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (98503.33);Right Bank Station point is different than the bankline intersection (>1%)
