rs;x;y;estaca_talvegue;z_lamina_mdt;z_leito_A_LEVANTAR;observacao
114503.33;663622.00;6972064.30;172.00;279.98;;legado sintetico em RS 114428 (reta desenhada, residuo < 5 cm) -- MDT vale aqui
114003.33;663946.67;6972443.80;176.00;277.36;;legado sintetico em RS 114053 (reta desenhada, residuo < 5 cm) -- MDT vale aqui
113503.33;664170.76;6972872.24;220.00;272.36;;legado sintetico em RS 113453 (reta desenhada, residuo < 5 cm) -- MDT vale aqui
113253.33;664012.13;6973096.93;96.00;270.60;;legado sintetico em RS 113303 (reta desenhada, residuo < 5 cm) -- MDT vale aqui
112253.33;664535.43;6973950.21;84.00;264.93;;legado sintetico em RS 112253 (reta desenhada, residuo < 5 cm) -- MDT vale aqui
111253.33;665039.30;6974780.42;40.00;264.92;;legado sintetico em RS 111275 (reta desenhada, residuo < 5 cm) -- MDT vale aqui
111003.33;665141.58;6974993.33;32.00;253.48;;legado sintetico em RS 110975 (reta desenhada, residuo < 5 cm) -- MDT vale aqui
110503.33;665311.22;6975464.24;40.00;248.00;;legado sintetico em RS 110525 (reta desenhada, residuo < 5 cm) -- MDT vale aqui
109753.33;665692.31;6976094.96;28.00;237.78;;legado sintetico em RS 109775 (reta desenhada, residuo < 5 cm) -- MDT vale aqui
108753.33;666095.15;6976971.04;32.00;229.02;;legado sintetico em RS 108725 (reta desenhada, residuo < 5 cm) -- MDT vale aqui
108503.33;666206.31;6977194.93;80.00;226.52;;legado sintetico em RS 108575 (reta desenhada, residuo < 5 cm) -- MDT vale aqui
107753.33;666610.48;6977824.06;88.00;219.87;;legado sintetico em RS 107776 (reta desenhada, residuo < 5 cm) -- MDT vale aqui
106503.33;666668.31;6979036.79;24.00;219.86;;legado sintetico em RS 106576 (reta desenhada, residuo < 5 cm) -- MDT vale aqui
106003.33;666951.97;6979444.56;68.00;197.86;;legado sintetico em RS 105976 (reta desenhada, residuo < 5 cm) -- MDT vale aqui
105753.33;666968.84;6979689.66;60.00;197.82;;legado sintetico em RS 105826 (reta desenhada, residuo < 5 cm) -- MDT vale aqui
105253.33;666874.18;6980176.47;44.00;192.77;192.52;"1983 RS 105226.04 a 30 m; calha levantada 7.58 m"
104503.33;666731.11;6980840.18;64.00;184.27;186.52;"1983 RS 104476.04 a 35 m; calha levantada 8.60 m"
103753.33;667156.19;6981359.69;32.00;180.03;181.62;"1983 RS 103726.04 a 44 m; calha levantada 17.68 m"
