nivel;camada;onde;mensagem
Fatal;Rivers;Itajai_Acu - R2;Polyline has duplicate points - consider filtering.
Fatal;Cross Sections;Rio_das_Pombas, R1 (75.00);XS intersects > 2 banklines
Fatal;Cross Sections;Rio_das_Pombas, R1 (75.00);XS must intersect exactly one Reach.
Fatal;Cross Sections;Rio_dos_Cedros, R1 (75.00);XS intersects > 2 banklines
Fatal;Cross Sections;Rio_dos_Cedros, R1 (75.00);XS must intersect exactly one Reach.
Fatal;Cross Sections;Itajai_Norte, R2 (75.00);XS intersects > 2 banklines
Fatal;Cross Sections;Itajai_Norte, R2 (75.00);XS must intersect exactly one Reach.
Fatal;Cross Sections;Itajai_Oeste, R2 (36315.76);XS intersects > 2 banklines
Fatal;Cross Sections;Itajai_Oeste, R2 (34315.76);XS intersects > 2 banklines
Fatal;Cross Sections;Itajai_Oeste, R2 (33315.76);XS naming error - River Station out of order.
Fatal;Cross Sections;Itajai_Oeste, R2 (32315.76);XS intersects > 2 banklines
Fatal;Cross Sections;Itajai_Oeste, R2 (32315.76);XS must intersect exactly one Reach.
Fatal;Cross Sections;Itajai_Oeste, R2 (23602.79);XS intersects > 2 banklines
Fatal;Cross Sections;Itajai_Oeste, R2 (23602.79);XS must intersect exactly one Reach.
Fatal;Cross Sections;Itajai_Oeste, R4 (75.00);XS intersects > 2 banklines
Fatal;Cross Sections;Itajai_Oeste, R4 (75.00);XS must intersect exactly one Reach.
Fatal;Cross Sections;Itajai_Sul, R1 (33023.18);XS intersects > 2 banklines
Fatal;Cross Sections;Itajai_Sul, R1 (75.00);XS intersects > 2 banklines
Fatal;Cross Sections;Itajai_Sul, R1 (75.00);XS must intersect exactly one Reach.
Fatal;Cross Sections;Rio_Benedito, R1 (9489.09);XS intersects > 2 banklines
Fatal;Cross Sections;Rio_Benedito, R1 (9489.09);XS must intersect exactly one Reach.
Fatal;Cross Sections;Rio_Benedito, R2 (133.67);XS intersects > 2 banklines
Fatal;Cross Sections;Rio_Benedito, R2 (75.00);XS intersects > 2 banklines
Fatal;Cross Sections;Rio_do_Testo, R1 (308.09);XS intersects > 2 banklines
Fatal;Cross Sections;Rio_do_Testo, R1 (308.09);XS must intersect exactly one Reach.
Fatal;Cross Sections;Rio_do_Testo, R1 (75.00);XS intersects > 2 banklines
Fatal;Cross Sections;Rio_do_Testo, R1 (75.00);XS must intersect exactly one Reach.
Fatal;Cross Sections;Itajai_Acu, R1 (140411.3);XS intersects > 2 banklines
Fatal;Cross Sections;Itajai_Acu, R1 (140261.3);XS intersects > 2 banklines
Fatal;Cross Sections;Itajai_Acu, R1 (140261.3);XS must intersect exactly one Reach.
Fatal;Cross Sections;Itajai_Acu, R2 (89862.86);XS intersects > 2 banklines
