nivel;camada;onde;mensagem
Fatal;Cross Sections;Pombas, R1 (18564.91);XS intersects > 2 banklines
Fatal;Cross Sections;Pombas, R1 (18384.54);XS intersects > 2 banklines
Fatal;Cross Sections;Pombas, R1 (18057.45);XS intersects > 2 banklines
Fatal;Cross Sections;Pombas, R1 (17907.45);XS intersects > 2 banklines
Fatal;Cross Sections;Pombas, R1 (17757.45);XS intersects > 2 banklines
Fatal;Cross Sections;Pombas, R1 (16707.45);XS intersects > 2 banklines
Fatal;Cross Sections;Pombas, R1 (13733.62);XS intersects > 2 banklines
Fatal;Cross Sections;Pombas, R1 (13433.62);XS intersects > 2 banklines
Fatal;Cross Sections;Pombas, R1 (13105.77);XS intersects > 2 banklines
Fatal;Cross Sections;Pombas, R1 (2541.25);XS intersects > 2 banklines
Fatal;Cross Sections;Pombas, R1 (75.00);XS intersects > 2 banklines
Fatal;Cross Sections;Taio, R1 (21584.05);XS intersects > 2 banklines
Fatal;Cross Sections;Taio, R1 (18521.47);XS intersects > 2 banklines
Fatal;Cross Sections;Taio, R1 (17611.85);XS intersects > 2 banklines
Fatal;Cross Sections;Taio, R1 (16767.32);XS intersects > 2 banklines
Fatal;Cross Sections;Taio, R1 (15950.11);XS intersects > 2 banklines
Fatal;Cross Sections;Trombudo, R1 (30691.55);XS intersects > 2 banklines
Fatal;Cross Sections;Trombudo, R1 (30248.15);XS intersects > 2 banklines
Fatal;Cross Sections;Trombudo, R1 (9704.39);XS intersects > 2 banklines
Fatal;Cross Sections;Trombudo, R1 (5621.57);XS intersects > 2 banklines
Fatal;Cross Sections;Trombudo, R1 (75.00);XS intersects > 2 banklines
Fatal;Cross Sections;Cedros, R1 (20265.25);XS intersects > 2 banklines
Fatal;Cross Sections;Cedros, R1 (19323.51);XS intersects > 2 banklines
Fatal;Cross Sections;Cedros, R1 (15266.46);XS intersects > 2 banklines
Fatal;Cross Sections;Cedros, R1 (7149.86);XS intersects > 2 banklines
Fatal;Cross Sections;Cedros, R1 (6155.06);XS intersects > 2 banklines
Fatal;Cross Sections;Cedros, R1 (155.83);XS intersects > 2 banklines
Fatal;Cross Sections;Cedros, R1 (75.00);XS intersects > 2 banklines
Fatal;Cross Sections;Iraputa, R1 (44755.61);XS intersects > 2 banklines
Fatal;Cross Sections;Iraputa, R1 (43496.45);XS intersects > 2 banklines
Fatal;Cross Sections;Iraputa, R1 (42980.27);XS intersects > 2 banklines
Fatal;Cross Sections;Iraputa, R1 (41508.77);XS intersects > 2 banklines
Fatal;Cross Sections;Iraputa, R1 (20314.83);XS intersects > 2 banklines
Fatal;Cross Sections;Iraputa, R1 (19547.92);XS intersects > 2 banklines
Fatal;Cross Sections;Iraputa, R1 (17843.21);XS intersects > 2 banklines
Fatal;Cross Sections;Iraputa, R1 (17693.21);XS intersects > 2 banklines
Fatal;Cross Sections;Iraputa, R1 (6738.50);XS intersects > 2 banklines
Fatal;Cross Sections;Iraputa, R1 (162.89);XS intersects > 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (130086.7);XS intersects > 2 banklines
Fatal;Cross Sections;Itajai_Norte, R2 (24811.03);XS intersects > 2 banklines
Fatal;Cross Sections;Itajai_Norte, R2 (116.47);XS intersects > 2 banklines
Fatal;Cross Sections;Itajai_Norte, R2 (75.00);XS intersects > 2 banklines
Fatal;Cross Sections;Itajai_Oeste, R1 (81278.34);XS intersects > 2 banklines
Fatal;Cross Sections;Itajai_Oeste, R2 (52628.97);XS intersects > 2 banklines
Fatal;Cross Sections;Itajai_Oeste, R2 (51814.37);XS intersects > 2 banklines
Fatal;Cross Sections;Itajai_Oeste, R2 (45765.57);XS intersects > 2 banklines
Fatal;Cross Sections;Itajai_Oeste, R2 (41563.05);XS intersects > 2 banklines
Fatal;Cross Sections;Itajai_Oeste, R2 (40681.24);XS intersects > 2 banklines
Fatal;Cross Sections;Itajai_Oeste, R2 (40089.24);XS intersects > 2 banklines
Fatal;Cross Sections;Itajai_Oeste, R2 (28194.29);XS intersects > 2 banklines
Fatal;Cross Sections;Itajai_Oeste, R4 (6039.35);XS intersects > 2 banklines
Fatal;Cross Sections;Itajai_Oeste, R4 (234.87);XS intersects > 2 banklines
Fatal;Cross Sections;Itajai_Sul, R1 (295.01);XS intersects > 2 banklines
Fatal;Cross Sections;Testo, R1 (18437.67);XS intersects > 2 banklines
Fatal;Cross Sections;Testo, R1 (181.67);XS intersects > 2 banklines
Fatal;Cross Sections;Testo, R1 (75.00);XS intersects > 2 banklines
